"SampleID","ID.2","ID","BD","Strain","Light_treatment","Temp","Replicate","Perc_totEvents","Perc_Diatoms","Perc_LiveDiatoms","Bodipy_Median","Size_Median","Chlorophyll_Median","Bodipy_Sd","Size_Sd","Chlorophyll_Sd","Perc_Unhealthy","SSC_Med","SSC_SD","Bodipy_scaled","treatment","mean_lightBD","fold_change","treatment_combo","lipid_per_size","prop_dead","growthrateB"
"2D_004_BD_008.fcs","590DLR1bd","590DLR1","bd",590,"Dark",1,1,100,34.9,84.8,4316,113216,2476,4202,56730,1952,15.2,93632,53598,0.091413563773457,"Dark1",34691.6666666667,0.124410281047322,"Dark_1C",0.0381218202374223,0.459459459,0.053865745
"2D_005_BD_010.fcs","590DLR2bd","590DLR2","bd",590,"Dark",1,2,100,34.4,87.5,4299,103872,2410,3564,46857,2831,12.5,78528,45892,0.0910535010801881,"Dark1",34691.6666666667,0.123920249819841,"Dark_1C",0.0413874768946396,0.398601399,0.046944047
"2D_006_BD_012.fcs","590DLR3bd","590DLR3","bd",590,"Dark",1,3,100,32.1,86.4,3769,101504,2266,1944,43296,1330,13.6,83520,44950,0.079828017113568,"Dark1",34691.6666666667,0.108642805668989,"Dark_1C",0.0371315416141236,0.538461538,0.077988309
"2l_001_BD_002.fcs","590CLR1bd","590CLR1","bd",590,"Light",1,1,100,86.2,94.1,34497,150592,31414,11203,41615,10023,5.9,46080,25886,0.730651925276401,"Light1",34691.6666666667,0.99438866202258,"Light_1C",0.229075913727157,0.296969697,0.252105829
"2l_002_BD_004.fcs","590CLR2bd","590CLR2","bd",590,"Light",1,2,100,85,93.7,34580,150720,30817,11209,42696,10487,6.25,46592,27646,0.732409878425891,"Light1",34691.6666666667,0.996781167427336,"Light_1C",0.229432059447983,0.388646288,0.23230794
"2l_003_BD_006.fcs","590CLR3bd","590CLR3","bd",590,"Light",1,3,100,82.7,95.1,34998,153344,31640,10952,43604,10779,4.87,46144,25276,0.741263184648621,"Light1",34691.6666666667,1.00883017055008,"Light_1C",0.228231949081803,0.161538462,0.24412236
"5D_010_BD_020.fcs","590DHR1bd","590DHR1","bd",590,"Dark",4,1,100,39.8,84.8,4133,97216,1920,2688,46484,946,15.2,71808,41993,0.087537594781209,"Dark4",30625.3333333333,0.134953633157734,"Dark_4C",0.0425135780118499,0.598425197,0.02471357
"5D_011_BD_022.fcs","590DHR2bd","590DHR2","bd",590,"Dark",4,2,100,39.6,80,3746,99136,1917,2035,43631,850,20,75584,42450,0.0793408734697335,"Dark4",30625.3333333333,0.12231703600505,"Dark_4C",0.037786475145255,0.663157895,0.034385223
"5D_012_BD_024.fcs","590DHR3bd","590DHR3","bd",590,"Dark",4,3,100,42.2,83,3731,102784,1655,2874,44921,756,17,79168,44367,0.0790231710933198,"Dark4",30625.3333333333,0.121827245417737,"Dark_4C",0.0362994240348692,0.802690583,0.058747573
"5L_007_BD_014.fcs","590CHR1bd","590CHR1","bd",590,"Light",4,1,100,74,83,28342,166656,24276,15085,46739,13475,17,52864,28352,0.600288050154615,"Light4",30625.3333333333,0.925442988375637,"Light_4C",0.170062884024578,0.504950495,0.26703127
